ImageId,Label
1,6
2,0
3,9
4,9
5,2
6,7
7,0
8,3
9,0
10,3
11,5
12,7
13,9
14,0
15,4
16,0
17,5
18,1
19,9
20,0
21,7
22,1
23,1
24,1
25,7
26,4
27,1
28,7
29,9
30,7
31,7
32,5
33,4
34,2
35,6
36,2
37,9
38,5
39,1
40,5
41,7
42,7
43,4
44,9
45,8
46,7
47,1
48,8
49,6
50,1
51,6
52,5
53,8
54,8
55,9
56,2
57,1
58,0
59,1
60,0
61,4
62,1
63,9
64,0
65,0
66,0
67,1
68,9
69,0
70,1
71,6
72,9
73,8
74,8
75,9
76,5
77,8
78,9
79,2
80,5
81,8
82,9
83,1
84,0
85,9
86,2
87,4
88,8
89,6
90,9
91,1
92,0
93,6
94,6
95,1
96,9
97,3
98,9
99,7
100,9
101,0
102,9
103,2
104,0
105,9
106,1
107,0
108,5
109,0
110,8
111,8
112,0
113,6
114,1
115,1
116,7
117,1
118,1
119,8
120,8
121,3
122,9
123,9
124,8
125,6
126,1
127,2
128,7
129,1
130,9
131,3
132,8
133,1
134,0
135,0
136,0
137,3
138,1
139,3
140,8
141,5
142,3
143,4
144,5
145,5
146,8
147,7
148,7
149,2
150,8
151,4
152,3
153,0
154,6
155,9
156,8
157,7
158,5
159,7
160,8
161,3
162,0
163,4
164,0
165,1
166,8
167,7
168,6
169,9
170,0
171,3
172,7
173,7
174,6
175,1
176,3
177,9
178,1
179,1
180,0
181,4
182,9
183,5
184,0
185,4
186,9
187,2
188,1
189,6
190,0
191,6
192,1
193,4
194,4
195,6
196,0
197,9
198,7
199,0
200,9
201,1
202,9
203,0
204,9
205,9
206,0
207,8
208,4
209,6
210,2
211,0
212,7
213,3
214,6
215,9
216,8
217,1
218,6
219,3
220,4
221,4
222,8
223,1
224,0
225,2
226,6
227,1
228,6
229,1
230,0
231,0
232,0
233,9
234,1
235,9
236,3
237,0
238,8
239,9
240,6
241,5
242,6
243,2
244,0
245,9
246,5
247,9
248,9
249,1
250,9
251,4
252,9
253,1
254,1
255,8
256,9
257,8
258,1
259,4
260,5
261,1
262,3
263,3
264,8
265,7
266,0
267,6
268,8
269,1
270,1
271,6
272,0
273,6
274,3
275,9
276,9
277,1
278,9
279,8
280,4
281,0
282,9
283,2
284,0
285,5
286,1
287,7
288,1
289,9
290,9
291,8
292,7
293,7
294,9
295,9
296,6
297,9
298,0
299,5
300,3
301,6
302,9
303,8
304,8
305,6
306,3
307,1
308,1
309,9
310,5
311,8
312,6
313,9
314,0
315,0
316,9
317,1
318,8
319,1
320,1
321,9
322,1
323,1
324,9
325,8
326,4
327,0
328,1
329,3
330,8
331,6
332,3
333,1
334,5
335,0
336,9
337,0
338,6
339,6
340,0
341,6
342,5
343,1
344,8
345,1
346,0
347,3
348,0
349,0
350,8
351,2
352,7
353,7
354,8
355,9
356,8
357,9
358,9
359,0
360,1
361,5
362,6
363,3
364,0
365,9
366,4
367,3
368,1
369,1
370,6
371,8
372,0
373,9
374,9
375,7
376,1
377,9
378,5
379,3
380,9
381,6
382,5
383,5
384,9
385,2
386,6
387,1
388,1
389,8
390,7
391,1
392,7
393,9
394,9
395,6
396,1
397,1
398,1
399,7
400,3
401,9
402,7
403,6
404,1
405,1
406,1
407,4
408,1
409,0
410,0
411,5
412,0
413,4
414,1
415,2
416,9
417,1
418,1
419,3
420,1
421,9
422,6
423,6
424,9
425,3
426,1
427,9
428,7
429,9
430,7
431,4
432,8
433,5
434,1
435,1
436,1
437,3
438,9
439,9
440,5
441,8
442,4
443,7
444,4
445,1
446,4
447,1
448,5
449,3
450,9
451,9
452,7
453,6
454,9
455,0
456,4
457,2
458,3
459,1
460,6
461,1
462,9
463,5
464,0
465,1
466,1
467,7
468,9
469,9
470,1
471,1
472,4
473,9
474,8
475,6
476,0
477,1
478,3
479,1
480,0
481,4
482,9
483,1
484,2
485,7
486,9
487,4
488,8
489,3
490,7
491,7
492,4
493,2
494,4
495,1
496,7
497,0
498,9
499,1
500,0
501,0
502,5
503,7
504,4
505,1
506,9
507,3
508,3
509,0
510,6
511,7
512,1
513,8
514,7
515,5
516,8
517,5
518,7
519,4
520,2
521,2
522,9
523,0
524,7
525,9
526,1
527,0
528,1
529,1
530,7
531,0
532,5
533,8
534,8
535,9
536,5
537,6
538,5
539,4
540,3
541,0
542,2
543,9
544,2
545,0
546,1
547,0
548,9
549,2
550,1
551,1
552,3
553,0
554,8
555,0
556,0
557,7
558,9
559,6
560,8
561,0
562,3
563,1
564,1
565,0
566,5
567,4
568,1
569,1
570,4
571,1
572,5
573,3
574,1
575,0
576,4
577,8
578,8
579,4
580,1
581,5
582,1
583,7
584,6
585,9
586,1
587,7
588,3
589,8
590,0
591,8
592,9
593,1
594,0
595,8
596,6
597,0
598,6
599,0
600,3
601,1
602,1
603,7
604,1
605,1
606,2
607,8
608,4
609,1
610,1
611,7
612,4
613,3
614,3
615,8
616,4
617,7
618,0
619,0
620,9
621,8
622,5
623,9
624,7
625,0
626,8
627,1
628,3
629,6
630,7
631,1
632,1
633,8
634,6
635,1
636,4
637,9
638,7
639,0
640,3
641,5
642,9
643,9
644,6
645,4
646,7
647,9
648,9
649,1
650,8
651,9
652,7
653,0
654,0
655,8
656,2
657,4
658,3
659,3
660,7
661,0
662,5
663,4
664,0
665,4
666,1
667,1
668,3
669,2
670,6
671,8
672,7
673,4
674,3
675,0
676,7
677,7
